File,BRONO-FBG-3-1.csv,
Date/Time,21-12-14/05:57,

Center Wavelength,1554,nm
Span Wavelength,200,nm
Start Wavelength,1454,nm
Stop Wavelength,1654,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.2,nm
Actual Resolution,0.194,nm
VBW,10,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1454,nm
Stop,1654,nm
1454.000000,1.6820E-009
1454.400000,1.1020E-009
1454.800000,6.9420E-010
1455.200000,6.5250E-010
1455.600000,4.4470E-010
1456.000000,7.3120E-010
1456.400000,6.9930E-010
1456.800000,6.1280E-010
1457.200000,2.1430E-010
1457.600000,8.1240E-010
1458.000000,5.6010E-010
1458.400000,6.7760E-010
1458.800000,5.3710E-010
1459.200000,6.7650E-010
1459.600000,2.8550E-010
1460.000000,5.8630E-010
1460.400000,5.6040E-010
1460.800000,5.5540E-010
1461.200000,6.2910E-010
1461.600000,8.0830E-010
1462.000000,1.0060E-009
1462.400000,8.0830E-010
1462.800000,4.5360E-010
1463.200000,1.7910E-010
1463.600000,6.6980E-010
1464.000000,8.1390E-010
1464.400000,7.9880E-010
1464.800000,9.6520E-010
1465.200000,9.2830E-010
1465.600000,4.5330E-010
1466.000000,5.6710E-010
1466.400000,4.9870E-010
1466.800000,5.5780E-010
1467.200000,5.8820E-010
1467.600000,6.1820E-010
1468.000000,5.0160E-010
1468.400000,5.7220E-010
1468.800000,3.7980E-010
1469.200000,4.3630E-010
1469.600000,5.0210E-010
1470.000000,4.6280E-010
1470.400000,5.9990E-010
1470.800000,5.6910E-010
1471.200000,3.0100E-010
1471.600000,4.3050E-010
1472.000000,5.6800E-010
1472.400000,6.5540E-010
1472.800000,6.1050E-010
1473.200000,5.2610E-010
1473.600000,7.1920E-010
1474.000000,5.4980E-010
1474.400000,7.3790E-010
1474.800000,1.6950E-010
1475.200000,8.8510E-010
1475.600000,5.3560E-010
1476.000000,3.2390E-010
1476.400000,7.9670E-010
1476.800000,6.7250E-010
1477.200000,2.8650E-010
1477.600000,5.8530E-010
1478.000000,4.3370E-010
1478.400000,4.2680E-010
1478.800000,9.9590E-010
1479.200000,4.2780E-010
1479.600000,3.9180E-010
1480.000000,7.6950E-010
1480.400000,9.9940E-010
1480.800000,7.5490E-010
1481.200000,9.9380E-010
1481.600000,6.6780E-010
1482.000000,4.4000E-010
1482.400000,7.0900E-010
1482.800000,4.4040E-010
1483.200000,3.2230E-010
1483.600000,3.9230E-010
1484.000000,7.2670E-010
1484.400000,7.1780E-010
1484.800000,5.5240E-010
1485.200000,7.2980E-010
1485.600000,7.1270E-010
1486.000000,4.9260E-010
1486.400000,1.0150E-009
1486.800000,1.0860E-009
1487.200000,7.3530E-010
1487.600000,6.2430E-010
1488.000000,5.6120E-010
1488.400000,7.8480E-010
1488.800000,3.3900E-010
1489.200000,4.7010E-010
1489.600000,6.5540E-010
1490.000000,6.0560E-010
1490.400000,8.0570E-010
1490.800000,3.9960E-010
1491.200000,7.7970E-010
1491.600000,7.4300E-010
1492.000000,4.7580E-010
1492.400000,3.4180E-010
1492.800000,1.7920E-010
1493.200000,5.6810E-010
1493.600000,3.1260E-010
1494.000000,7.0620E-010
1494.400000,8.7680E-010
1494.800000,4.6750E-010
1495.200000,8.9230E-010
1495.600000,5.4870E-010
1496.000000,6.1330E-010
1496.400000,6.1120E-010
1496.800000,8.1790E-010
1497.200000,5.3970E-010
1497.600000,5.7690E-010
1498.000000,7.3430E-010
1498.400000,7.0020E-010
1498.800000,8.3020E-010
1499.200000,4.4440E-010
1499.600000,7.7730E-010
1500.000000,8.4120E-010
1500.400000,8.4630E-010
1500.800000,4.5920E-010
1501.200000,5.2030E-010
1501.600000,8.1720E-010
1502.000000,6.8610E-010
1502.400000,6.2670E-010
1502.800000,1.0250E-009
1503.200000,3.9960E-010
1503.600000,7.5710E-010
1504.000000,6.2770E-010
1504.400000,6.0090E-010
1504.800000,6.5020E-010
1505.200000,5.6380E-010
1505.600000,4.3680E-010
1506.000000,7.4920E-010
1506.400000,6.8310E-010
1506.800000,8.2310E-010
1507.200000,9.3380E-010
1507.600000,5.4520E-010
1508.000000,4.3390E-010
1508.400000,6.1910E-010
1508.800000,9.5840E-010
1509.200000,9.5460E-010
1509.600000,7.2140E-010
1510.000000,4.3120E-010
1510.400000,4.0310E-010
1510.800000,8.4250E-010
1511.200000,4.7910E-010
1511.600000,5.7740E-010
1512.000000,4.4940E-010
1512.400000,4.3040E-010
1512.800000,6.9900E-010
1513.200000,5.4940E-010
1513.600000,4.5430E-010
1514.000000,9.2270E-010
1514.400000,5.4180E-010
1514.800000,7.3950E-010
1515.200000,6.5650E-010
1515.600000,5.2440E-010
1516.000000,8.8700E-010
1516.400000,9.2740E-010
1516.800000,5.5860E-010
1517.200000,5.6240E-010
1517.600000,9.2760E-010
1518.000000,5.4960E-010
1518.400000,5.6940E-010
1518.800000,8.4050E-010
1519.200000,8.2570E-010
