File,BRONO-FBG-8-10_SpanReduzido_Romp.csv,
Date/Time,21-12-14/07:44,

Center Wavelength,1555,nm
Span Wavelength,30,nm
Start Wavelength,1540,nm
Stop Wavelength,1570,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.467,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1540,nm
Stop,1570,nm
1540.000000,6.3210E-010
1540.060000,1.9680E-009
1540.120000,-2.8590E-010
1540.180000,6.6400E-010
1540.240000,1.7320E-009
1540.300000,-2.7320E-010
1540.360000,2.0060E-009
1540.420000,5.8990E-010
1540.480000,1.9290E-009
1540.540000,8.5680E-010
1540.600000,8.3390E-010
1540.660000,1.5970E-009
1540.720000,1.0490E-009
1540.780000,6.6960E-010
1540.840000,3.6150E-010
1540.900000,2.5100E-009
1540.960000,1.0680E-009
1541.020000,7.8860E-010
1541.080000,1.5480E-009
1541.140000,1.2120E-009
1541.200000,1.4810E-010
1541.260000,-3.8620E-010
1541.320000,1.5430E-009
1541.380000,1.1420E-009
1541.440000,2.0160E-009
1541.500000,7.0850E-010
1541.560000,2.5960E-010
1541.620000,1.4340E-009
1541.680000,1.2220E-009
1541.740000,7.3030E-010
1541.800000,1.1480E-009
1541.860000,2.1800E-009
1541.920000,1.8210E-009
1541.980000,4.9150E-010
1542.040000,1.8310E-009
1542.100000,2.0730E-010
1542.160000,1.9520E-009
1542.220000,1.6680E-009
1542.280000,1.3080E-009
1542.340000,2.0690E-009
1542.400000,1.5860E-009
1542.460000,1.7040E-009
1542.520000,1.7150E-009
1542.580000,3.1800E-009
1542.640000,1.9480E-009
1542.700000,8.0390E-010
1542.760000,9.8380E-010
1542.820000,1.6030E-009
1542.880000,4.7620E-010
1542.940000,5.1530E-011
1543.000000,2.6170E-009
1543.060000,1.4790E-009
1543.120000,1.2540E-009
1543.180000,1.8620E-009
1543.240000,1.8020E-009
1543.300000,4.7390E-010
1543.360000,1.5690E-009
1543.420000,2.3300E-009
1543.480000,1.3400E-009
1543.540000,7.1130E-011
1543.600000,7.4150E-010
1543.660000,1.2860E-009
1543.720000,1.1160E-009
1543.780000,2.0390E-009
1543.840000,2.3670E-009
1543.900000,1.3980E-009
1543.960000,1.9460E-009
1544.020000,2.2370E-009
1544.080000,1.7530E-009
1544.140000,8.2630E-010
1544.200000,2.6580E-009
1544.260000,1.7660E-009
1544.320000,2.5540E-009
1544.380000,3.0960E-009
1544.440000,2.0620E-009
1544.500000,2.9410E-009
1544.560000,3.1880E-009
1544.620000,2.0710E-009
1544.680000,1.4910E-009
1544.740000,1.6530E-009
1544.800000,8.8970E-010
1544.860000,1.1700E-009
1544.920000,1.5320E-009
1544.980000,1.9180E-009
1545.040000,1.2570E-009
1545.100000,2.6870E-009
1545.160000,2.4050E-009
1545.220000,1.4320E-009
1545.280000,1.0940E-009
1545.340000,1.8570E-009
1545.400000,2.2290E-009
1545.460000,1.1070E-009
1545.520000,1.6670E-009
1545.580000,2.4260E-009
1545.640000,1.3400E-009
1545.700000,2.4720E-009
1545.760000,2.8110E-009
1545.820000,1.8150E-009
1545.880000,2.9700E-009
1545.940000,1.6390E-009
1546.000000,1.2990E-009
1546.060000,2.1890E-009
1546.120000,2.4240E-009
1546.180000,1.8590E-009
1546.240000,1.9930E-009
1546.300000,2.4480E-009
1546.360000,1.8430E-009
1546.420000,2.2180E-009
1546.480000,3.6160E-010
1546.540000,3.4760E-009
1546.600000,2.9330E-009
1546.660000,1.2240E-009
1546.720000,2.9450E-009
1546.780000,2.2620E-009
1546.840000,1.7660E-009
1546.900000,4.5300E-009
1546.960000,1.5450E-009
1547.020000,3.9310E-009
1547.080000,2.1400E-009
1547.140000,1.9790E-009
1547.200000,2.7200E-009
1547.260000,2.3060E-009
1547.320000,9.0610E-010
1547.380000,3.6450E-009
1547.440000,4.2720E-009
1547.500000,2.5970E-009
1547.560000,2.2060E-009
1547.620000,3.4670E-009
1547.680000,3.8550E-009
1547.740000,3.2880E-009
1547.800000,2.3120E-009
1547.860000,2.8820E-009
1547.920000,2.5400E-009
1547.980000,3.4380E-009
1548.040000,2.7550E-009
1548.100000,4.1000E-009
1548.160000,3.2010E-009
1548.220000,3.1770E-009
1548.280000,3.2890E-009
1548.340000,2.5850E-009
1548.400000,2.6770E-009
1548.460000,3.4380E-009
1548.520000,2.9830E-009
1548.580000,2.2480E-009
1548.640000,3.7830E-009
1548.700000,2.8950E-009
1548.760000,3.5090E-009
1548.820000,3.7840E-009
1548.880000,3.6130E-009
1548.940000,2.8230E-009
1549.000000,2.0000E-009
1549.060000,2.5840E-009
1549.120000,3.8140E-009
1549.180000,3.0460E-009
1549.240000,3.1240E-009
1549.300000,2.3150E-009
1549.360000,2.8640E-009
1549.420000,2.9890E-009
1549.480000,3.2490E-009
1549.540000,3.6070E-009
1549.600000,2.9370E-009
1549.660000,3.0810E-009
1549.720000,2.5140E-009
1549.780000,3.9000E-009
1549.840000,3.1540E-009
1549.900000,4.5240E-009
1549.960000,2.4970E-009
1550.020000,3.5480E-009
1550.080000,3.3480E-009
1550.140000,3.1780E-009
1550.200000,4.5470E-009
1550.260000,2.3370E-009
1550.320000,3.5540E-009
1550.380000,2.4560E-009
1550.440000,4.2760E-009
1550.500000,3.7540E-009
1550.560000,4.2970E-009
1550.620000,3.2070E-009
1550.680000,2.6770E-009
1550.740000,3.5300E-009
1550.800000,3.5960E-009
1550.860000,5.1640E-009
1550.920000,4.2710E-009
1550.980000,2.5000E-009
1551.040000,3.0700E-009
1551.100000,2.7930E-009
1551.160000,4.4620E-009
1551.220000,2.9340E-009
1551.280000,4.1790E-009
1551.340000,4.4220E-009
1551.400000,4.2820E-009
1551.460000,3.7410E-009
1551.520000,4.3840E-009
1551.580000,3.5090E-009
1551.640000,4.4320E-009
1551.700000,2.8460E-009
1551.760000,4.6660E-009
1551.820000,1.9680E-009
1551.880000,3.4400E-009
1551.940000,4.0240E-009
1552.000000,3.4380E-009
1552.060000,3.1490E-009
1552.120000,3.9140E-009
1552.180000,4.5590E-009
1552.240000,3.5850E-009
1552.300000,4.1880E-009
1552.360000,4.5900E-009
1552.420000,4.0170E-009
1552.480000,4.1420E-009
1552.540000,4.9710E-009
1552.600000,4.7880E-009
1552.660000,4.3260E-009
1552.720000,4.2820E-009
1552.780000,3.7150E-009
1552.840000,4.1140E-009
1552.900000,4.8630E-009
1552.960000,3.8630E-009
1553.020000,3.4940E-009
1553.080000,3.8070E-009
1553.140000,3.7180E-009
1553.200000,5.4890E-009
1553.260000,4.8610E-009
1553.320000,3.9920E-009
1553.380000,5.7280E-009
1553.440000,4.3320E-009
1553.500000,5.0470E-009
1553.560000,5.2530E-009
1553.620000,4.8810E-009
1553.680000,4.8800E-009
1553.740000,3.3810E-009
1553.800000,4.0280E-009
1553.860000,3.9760E-009
1553.920000,3.8220E-009
1553.980000,5.1990E-009
1554.040000,5.3060E-009
1554.100000,5.3630E-009
1554.160000,5.6810E-009
1554.220000,5.0490E-009
1554.280000,4.4960E-009
1554.340000,5.7900E-009
1554.400000,3.9090E-009
1554.460000,5.7720E-009
1554.520000,5.9350E-009
1554.580000,5.2720E-009
1554.640000,5.6230E-009
1554.700000,5.2800E-009
1554.760000,3.9770E-009
1554.820000,4.7430E-009
1554.880000,5.0090E-009
1554.940000,3.4920E-009
1555.000000,4.9260E-009
1555.060000,5.7820E-009
1555.120000,4.7610E-009
1555.180000,4.7720E-009
1555.240000,6.2240E-009
1555.300000,5.4440E-009
1555.360000,6.0210E-009
1555.420000,5.4730E-009
1555.480000,4.1550E-009
1555.540000,5.1350E-009
1555.600000,5.1300E-009
1555.660000,5.8660E-009
1555.720000,5.8890E-009
1555.780000,5.6880E-009
1555.840000,5.2100E-009
1555.900000,6.2880E-009
1555.960000,5.7180E-009
1556.020000,5.9300E-009
1556.080000,5.1310E-009
1556.140000,5.3510E-009
1556.200000,5.6450E-009
1556.260000,5.5800E-009
1556.320000,7.1880E-009
1556.380000,6.5500E-009
1556.440000,5.0160E-009
1556.500000,7.1160E-009
1556.560000,5.4900E-009
1556.620000,7.2460E-009
1556.680000,5.0230E-009
1556.740000,5.5660E-009
1556.800000,6.3700E-009
1556.860000,4.3880E-009
1556.920000,5.1210E-009
1556.980000,6.9020E-009
1557.040000,4.5160E-009
1557.100000,6.0050E-009
1557.160000,5.1170E-009
1557.220000,7.4610E-009
1557.280000,5.9820E-009
1557.340000,5.7680E-009
1557.400000,6.7700E-009
1557.460000,5.4040E-009
1557.520000,6.8480E-009
1557.580000,6.4760E-009
1557.640000,5.6520E-009
1557.700000,5.2830E-009
1557.760000,7.2420E-009
1557.820000,6.4460E-009
1557.880000,5.7860E-009
1557.940000,6.8340E-009
1558.000000,4.6760E-009
1558.060000,5.9080E-009
1558.120000,7.1600E-009
1558.180000,6.6480E-009
1558.240000,6.2660E-009
1558.300000,7.3680E-009
1558.360000,6.1860E-009
1558.420000,6.2550E-009
1558.480000,6.2320E-009
1558.540000,6.0580E-009
1558.600000,7.4100E-009
1558.660000,6.8170E-009
1558.720000,6.0490E-009
1558.780000,6.6090E-009
1558.840000,5.4800E-009
1558.900000,6.3020E-009
1558.960000,5.8670E-009
1559.020000,6.9380E-009
1559.080000,6.6770E-009
1559.140000,6.4540E-009
1559.200000,7.2820E-009
1559.260000,6.4130E-009
1559.320000,6.0040E-009
1559.380000,5.8080E-009
1559.440000,7.2980E-009
1559.500000,8.1680E-009
1559.560000,6.5360E-009
1559.620000,6.2080E-009
1559.680000,6.1850E-009
1559.740000,6.3440E-009
1559.800000,7.7550E-009
1559.860000,5.1870E-009
1559.920000,7.1260E-009
1559.980000,6.1650E-009
1560.040000,7.4440E-009
1560.100000,6.6160E-009
1560.160000,8.0540E-009
1560.220000,5.6540E-009
1560.280000,6.6130E-009
1560.340000,7.8320E-009
1560.400000,6.6070E-009
1560.460000,7.5120E-009
1560.520000,6.4980E-009
1560.580000,7.6530E-009
1560.640000,6.5880E-009
1560.700000,6.8500E-009
1560.760000,7.1530E-009
1560.820000,6.8280E-009
1560.880000,6.8610E-009
1560.940000,6.5260E-009
1561.000000,6.4760E-009
1561.060000,7.4490E-009
1561.120000,7.1550E-009
1561.180000,7.1700E-009
1561.240000,7.1230E-009
1561.300000,7.4220E-009
1561.360000,7.8760E-009
1561.420000,8.7480E-009
1561.480000,7.4170E-009
1561.540000,7.0200E-009
1561.600000,9.0470E-009
1561.660000,7.4420E-009
1561.720000,9.2860E-009
1561.780000,8.3220E-009
1561.840000,7.4150E-009
1561.900000,8.9160E-009
1561.960000,7.9940E-009
1562.020000,8.7200E-009
1562.080000,7.6000E-009
1562.140000,8.4940E-009
1562.200000,9.0450E-009
1562.260000,8.7220E-009
1562.320000,7.8400E-009
1562.380000,7.6840E-009
1562.440000,8.2450E-009
1562.500000,8.2970E-009
1562.560000,7.3080E-009
1562.620000,7.6830E-009
1562.680000,7.7120E-009
1562.740000,9.3520E-009
1562.800000,8.4310E-009
1562.860000,1.0140E-008
1562.920000,9.4890E-009
1562.980000,8.2450E-009
1563.040000,9.2150E-009
1563.100000,6.5390E-009
1563.160000,8.0370E-009
1563.220000,7.7720E-009
1563.280000,9.0800E-009
1563.340000,8.7860E-009
1563.400000,8.5630E-009
1563.460000,9.1490E-009
1563.520000,9.5900E-009
1563.580000,7.3860E-009
1563.640000,8.1620E-009
1563.700000,9.4630E-009
1563.760000,9.1900E-009
1563.820000,8.4800E-009
1563.880000,8.9040E-009
1563.940000,8.3820E-009
1564.000000,8.7920E-009
1564.060000,9.3010E-009
1564.120000,9.1650E-009
1564.180000,9.0520E-009
1564.240000,8.9400E-009
1564.300000,7.8820E-009
1564.360000,7.9860E-009
1564.420000,7.5360E-009
1564.480000,7.6780E-009
1564.540000,9.8940E-009
1564.600000,9.7950E-009
1564.660000,9.6800E-009
1564.720000,1.0660E-008
1564.780000,8.8120E-009
1564.840000,9.2420E-009
1564.900000,1.0010E-008
1564.960000,8.2350E-009
1565.020000,9.9590E-009
1565.080000,7.9620E-009
1565.140000,9.2770E-009
1565.200000,9.3310E-009
1565.260000,9.9310E-009
1565.320000,1.0090E-008
1565.380000,1.0030E-008
1565.440000,8.8400E-009
1565.500000,1.1620E-008
1565.560000,9.6690E-009
1565.620000,1.0340E-008
1565.680000,9.6820E-009
1565.740000,9.2170E-009
1565.800000,1.0130E-008
1565.860000,1.0380E-008
1565.920000,1.1120E-008
1565.980000,8.7630E-009
1566.040000,9.7190E-009
1566.100000,1.0210E-008
1566.160000,1.1470E-008
1566.220000,1.0740E-008
1566.280000,9.8080E-009
1566.340000,1.0800E-008
1566.400000,9.8170E-009
1566.460000,9.5610E-009
1566.520000,1.1390E-008
1566.580000,1.0000E-008
1566.640000,9.8270E-009
1566.700000,1.1600E-008
1566.760000,9.6250E-009
1566.820000,1.0400E-008
1566.880000,1.0850E-008
1566.940000,9.4740E-009
1567.000000,1.0400E-008
1567.060000,1.1680E-008
1567.120000,1.1260E-008
1567.180000,9.3250E-009
1567.240000,1.0180E-008
1567.300000,1.0490E-008
1567.360000,1.1520E-008
1567.420000,1.2700E-008
1567.480000,1.1310E-008
1567.540000,1.0530E-008
1567.600000,1.1450E-008
1567.660000,1.1410E-008
1567.720000,1.1370E-008
1567.780000,1.1510E-008
1567.840000,1.1330E-008
1567.900000,1.2030E-008
1567.960000,1.0440E-008
1568.020000,1.0880E-008
1568.080000,1.1470E-008
1568.140000,1.1780E-008
1568.200000,1.1610E-008
1568.260000,1.1710E-008
1568.320000,1.0180E-008
1568.380000,1.2610E-008
1568.440000,1.0910E-008
1568.500000,1.2020E-008
1568.560000,1.1740E-008
1568.620000,1.0710E-008
1568.680000,1.1390E-008
1568.740000,1.1150E-008
1568.800000,1.1570E-008
1568.860000,1.1660E-008
1568.920000,1.2000E-008
1568.980000,1.2500E-008
1569.040000,1.2520E-008
1569.100000,1.1560E-008
1569.160000,1.1690E-008
1569.220000,1.1810E-008
1569.280000,1.1920E-008
1569.340000,1.1370E-008
1569.400000,1.2940E-008
1569.460000,1.3950E-008
1569.520000,1.0640E-008
1569.580000,1.2020E-008
1569.640000,1.1150E-008
1569.700000,1.1220E-008
1569.760000,1.1690E-008
1569.820000,1.2100E-008
1569.880000,1.1570E-008
1569.940000,1.2570E-008
1570.000000,1.1590E-008
