File,BRONO-FBG-8-90_SpanReduzido.csv,
Date/Time,21-12-14/07:15,

Center Wavelength,1555,nm
Span Wavelength,30,nm
Start Wavelength,1540,nm
Stop Wavelength,1570,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.467,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1540,nm
Stop,1570,nm
1540.000000,1.4260E-009
1540.060000,1.1200E-009
1540.120000,2.2290E-009
1540.180000,7.4310E-010
1540.240000,1.7590E-009
1540.300000,1.1310E-009
1540.360000,2.3610E-009
1540.420000,1.5910E-009
1540.480000,7.3040E-010
1540.540000,1.5050E-009
1540.600000,7.8660E-010
1540.660000,4.2680E-010
1540.720000,-1.4050E-011
1540.780000,1.1240E-009
1540.840000,7.1700E-010
1540.900000,1.4890E-009
1540.960000,1.2530E-009
1541.020000,6.2610E-011
1541.080000,1.9310E-009
1541.140000,1.9620E-009
1541.200000,1.8750E-009
1541.260000,1.5200E-009
1541.320000,2.0590E-009
1541.380000,2.2770E-009
1541.440000,1.6250E-009
1541.500000,1.8270E-009
1541.560000,1.3280E-009
1541.620000,8.4150E-010
1541.680000,6.8930E-010
1541.740000,3.9520E-010
1541.800000,9.8990E-010
1541.860000,9.0110E-010
1541.920000,1.7330E-009
1541.980000,1.5790E-009
1542.040000,1.5580E-009
1542.100000,3.0280E-009
1542.160000,1.5830E-009
1542.220000,1.1310E-009
1542.280000,2.1530E-009
1542.340000,-3.0780E-011
1542.400000,3.1680E-010
1542.460000,1.4600E-009
1542.520000,2.4400E-009
1542.580000,1.4320E-009
1542.640000,1.9920E-009
1542.700000,7.9990E-010
1542.760000,1.2730E-009
1542.820000,1.9950E-009
1542.880000,2.3680E-009
1542.940000,8.6180E-010
1543.000000,1.1910E-009
1543.060000,7.1420E-010
1543.120000,1.9480E-010
1543.180000,2.7680E-009
1543.240000,1.2780E-009
1543.300000,2.0100E-009
1543.360000,9.3040E-011
1543.420000,2.3930E-009
1543.480000,2.2410E-009
1543.540000,2.2900E-009
1543.600000,1.1070E-009
1543.660000,1.5890E-009
1543.720000,1.2000E-009
1543.780000,8.4450E-010
1543.840000,1.6960E-009
1543.900000,1.9260E-009
1543.960000,9.2110E-011
1544.020000,1.7760E-009
1544.080000,1.5350E-009
1544.140000,2.0420E-009
1544.200000,2.3250E-009
1544.260000,2.1260E-009
1544.320000,2.2950E-009
1544.380000,1.4430E-009
1544.440000,3.4860E-009
1544.500000,2.1610E-009
1544.560000,1.3020E-009
1544.620000,2.4530E-009
1544.680000,3.3380E-009
1544.740000,1.5250E-009
1544.800000,9.1040E-010
1544.860000,1.6090E-009
1544.920000,7.2870E-010
1544.980000,1.7810E-009
1545.040000,2.1260E-009
1545.100000,2.1530E-009
1545.160000,1.6520E-009
1545.220000,2.6280E-009
1545.280000,3.4880E-009
1545.340000,3.1210E-009
1545.400000,3.8250E-009
1545.460000,2.7110E-009
1545.520000,3.9110E-009
1545.580000,2.7020E-009
1545.640000,2.9300E-009
1545.700000,1.7220E-009
1545.760000,1.7360E-009
1545.820000,2.4570E-009
1545.880000,6.4490E-010
1545.940000,3.8490E-009
1546.000000,6.0110E-010
1546.060000,2.1890E-009
1546.120000,4.8000E-010
1546.180000,2.7300E-009
1546.240000,3.0090E-009
1546.300000,1.7180E-009
1546.360000,1.4720E-009
1546.420000,1.6230E-009
1546.480000,3.1540E-009
1546.540000,2.7840E-009
1546.600000,1.2380E-009
1546.660000,3.0560E-009
1546.720000,4.3940E-009
1546.780000,2.7720E-009
1546.840000,4.1270E-009
1546.900000,2.6770E-009
1546.960000,2.3570E-009
1547.020000,3.6040E-009
1547.080000,2.2230E-009
1547.140000,1.9610E-009
1547.200000,2.6450E-009
1547.260000,2.8980E-009
1547.320000,3.7480E-009
1547.380000,2.3270E-009
1547.440000,1.6350E-009
1547.500000,3.2690E-009
1547.560000,3.4140E-009
1547.620000,2.0120E-009
1547.680000,3.0360E-009
1547.740000,3.3890E-009
1547.800000,2.7980E-009
1547.860000,3.4050E-009
1547.920000,2.9440E-009
1547.980000,2.3000E-009
1548.040000,1.6930E-009
1548.100000,2.9240E-009
1548.160000,2.1670E-009
1548.220000,2.1710E-009
1548.280000,3.0460E-009
1548.340000,4.0640E-009
1548.400000,3.5020E-009
1548.460000,3.4830E-009
1548.520000,3.9180E-009
1548.580000,3.5180E-009
1548.640000,2.9410E-009
1548.700000,1.5840E-009
1548.760000,4.1520E-009
1548.820000,2.9570E-009
1548.880000,2.3340E-009
1548.940000,4.4280E-009
1549.000000,3.5580E-009
1549.060000,2.2040E-009
1549.120000,4.0400E-009
1549.180000,4.8910E-009
1549.240000,4.5930E-009
1549.300000,4.9510E-009
1549.360000,5.2580E-009
1549.420000,4.3720E-009
1549.480000,6.9660E-009
1549.540000,6.0070E-009
1549.600000,5.8180E-009
1549.660000,6.5040E-009
1549.720000,5.5050E-009
1549.780000,4.2230E-009
1549.840000,5.1780E-009
1549.900000,5.7070E-009
1549.960000,5.8960E-009
1550.020000,5.0810E-009
1550.080000,4.6660E-009
1550.140000,4.4760E-009
1550.200000,4.0610E-009
1550.260000,3.1940E-009
1550.320000,4.1280E-009
1550.380000,3.7170E-009
1550.440000,2.7870E-009
1550.500000,4.9180E-009
1550.560000,4.7890E-009
1550.620000,9.0380E-009
1550.680000,1.1230E-008
1550.740000,1.3550E-008
1550.800000,1.4440E-008
1550.860000,1.4390E-008
1550.920000,1.4880E-008
1550.980000,1.8290E-008
1551.040000,2.1700E-008
1551.100000,2.7130E-008
1551.160000,3.4790E-008
1551.220000,4.5600E-008
1551.280000,5.6390E-008
1551.340000,6.3050E-008
1551.400000,6.6900E-008
1551.460000,7.0300E-008
1551.520000,6.6170E-008
1551.580000,5.5840E-008
1551.640000,5.1540E-008
1551.700000,4.4450E-008
1551.760000,3.5390E-008
1551.820000,3.3340E-008
1551.880000,3.0940E-008
1551.940000,3.1100E-008
1552.000000,3.7300E-008
1552.060000,4.5580E-008
1552.120000,5.4680E-008
1552.180000,6.2790E-008
1552.240000,7.1550E-008
1552.300000,7.7300E-008
1552.360000,7.7850E-008
1552.420000,7.8780E-008
1552.480000,7.7600E-008
1552.540000,6.8290E-008
1552.600000,6.1660E-008
1552.660000,5.2790E-008
1552.720000,4.0970E-008
1552.780000,3.5110E-008
1552.840000,2.5210E-008
1552.900000,2.0780E-008
1552.960000,1.4330E-008
1553.020000,1.4940E-008
1553.080000,2.0050E-008
1553.140000,2.3600E-008
1553.200000,3.7410E-008
1553.260000,5.3340E-008
1553.320000,6.6950E-008
1553.380000,9.3900E-008
1553.440000,1.2710E-007
1553.500000,1.5040E-007
1553.560000,1.7660E-007
1553.620000,1.9590E-007
1553.680000,1.9020E-007
1553.740000,1.8140E-007
1553.800000,1.6330E-007
1553.860000,1.4330E-007
1553.920000,1.2800E-007
1553.980000,1.3340E-007
1554.040000,1.6580E-007
1554.100000,2.1900E-007
1554.160000,3.1100E-007
1554.220000,4.1150E-007
1554.280000,5.1090E-007
1554.340000,5.9770E-007
1554.400000,6.6930E-007
1554.460000,6.9380E-007
1554.520000,6.7690E-007
1554.580000,6.3410E-007
1554.640000,5.4430E-007
1554.700000,4.4350E-007
1554.760000,3.4750E-007
1554.820000,2.5640E-007
1554.880000,2.0160E-007
1554.940000,1.9420E-007
1555.000000,2.4780E-007
1555.060000,3.6070E-007
1555.120000,5.2390E-007
1555.180000,7.5410E-007
1555.240000,1.0050E-006
1555.300000,1.2830E-006
1555.360000,1.5600E-006
1555.420000,1.8240E-006
1555.480000,2.0620E-006
1555.540000,2.2520E-006
1555.600000,2.3810E-006
1555.660000,2.4510E-006
1555.720000,2.4560E-006
1555.780000,2.4020E-006
1555.840000,2.2850E-006
1555.900000,2.1290E-006
1555.960000,1.9330E-006
1556.020000,1.7130E-006
1556.080000,1.4850E-006
1556.140000,1.2620E-006
1556.200000,1.0320E-006
1556.260000,8.1870E-007
1556.320000,6.1800E-007
1556.380000,4.5440E-007
1556.440000,3.2330E-007
1556.500000,2.2110E-007
1556.560000,1.5840E-007
1556.620000,1.2510E-007
1556.680000,1.1900E-007
1556.740000,1.3450E-007
1556.800000,1.7020E-007
1556.860000,2.2050E-007
1556.920000,2.5780E-007
1556.980000,2.8430E-007
1557.040000,2.9500E-007
1557.100000,2.8890E-007
1557.160000,2.7050E-007
1557.220000,2.3970E-007
1557.280000,2.0560E-007
1557.340000,1.6670E-007
1557.400000,1.3150E-007
1557.460000,9.8640E-008
1557.520000,7.2870E-008
1557.580000,5.7040E-008
1557.640000,4.6060E-008
1557.700000,4.2290E-008
1557.760000,4.4430E-008
1557.820000,4.7960E-008
1557.880000,5.5650E-008
1557.940000,6.2520E-008
1558.000000,6.6880E-008
1558.060000,7.0590E-008
1558.120000,7.0220E-008
1558.180000,6.7970E-008
1558.240000,6.3460E-008
1558.300000,5.6880E-008
1558.360000,4.9300E-008
1558.420000,4.5130E-008
1558.480000,3.2670E-008
1558.540000,2.5520E-008
1558.600000,1.8940E-008
1558.660000,1.3880E-008
1558.720000,1.2590E-008
1558.780000,1.0510E-008
1558.840000,1.0550E-008
1558.900000,9.8410E-009
1558.960000,1.3090E-008
1559.020000,1.4480E-008
1559.080000,1.6750E-008
1559.140000,1.7700E-008
1559.200000,1.9720E-008
1559.260000,2.1460E-008
1559.320000,1.8440E-008
1559.380000,1.6980E-008
1559.440000,1.6280E-008
1559.500000,1.8990E-008
1559.560000,1.4370E-008
1559.620000,1.3520E-008
1559.680000,1.1360E-008
1559.740000,1.0450E-008
1559.800000,9.5300E-009
1559.860000,8.0730E-009
1559.920000,8.2530E-009
1559.980000,7.2580E-009
1560.040000,7.1760E-009
1560.100000,7.6900E-009
1560.160000,8.7200E-009
1560.220000,6.3180E-009
1560.280000,8.0600E-009
1560.340000,8.1550E-009
1560.400000,9.6820E-009
1560.460000,7.9800E-009
1560.520000,8.1080E-009
1560.580000,8.1730E-009
1560.640000,8.2540E-009
1560.700000,7.5300E-009
1560.760000,7.1960E-009
1560.820000,8.0980E-009
1560.880000,7.7700E-009
1560.940000,9.9290E-009
1561.000000,6.9180E-009
1561.060000,7.4000E-009
1561.120000,9.4170E-009
1561.180000,7.8890E-009
1561.240000,9.1910E-009
1561.300000,8.3760E-009
1561.360000,9.0610E-009
1561.420000,9.2960E-009
1561.480000,9.7260E-009
1561.540000,8.3980E-009
1561.600000,8.6790E-009
1561.660000,8.8590E-009
1561.720000,9.2190E-009
1561.780000,8.3860E-009
1561.840000,7.6090E-009
1561.900000,8.3420E-009
1561.960000,7.3470E-009
1562.020000,7.9180E-009
1562.080000,8.5530E-009
1562.140000,7.1540E-009
1562.200000,7.8470E-009
1562.260000,1.0340E-008
1562.320000,9.0710E-009
1562.380000,8.7820E-009
1562.440000,8.1030E-009
1562.500000,1.0390E-008
1562.560000,1.0700E-008
1562.620000,9.3500E-009
1562.680000,8.2770E-009
1562.740000,1.0620E-008
1562.800000,9.3540E-009
1562.860000,1.0140E-008
1562.920000,9.0790E-009
1562.980000,8.9710E-009
1563.040000,7.8550E-009
1563.100000,7.2440E-009
1563.160000,8.1430E-009
1563.220000,9.0070E-009
1563.280000,7.8500E-009
1563.340000,8.8770E-009
1563.400000,7.7900E-009
1563.460000,7.8200E-009
1563.520000,9.4170E-009
1563.580000,7.6440E-009
1563.640000,8.0420E-009
1563.700000,8.0470E-009
1563.760000,7.9080E-009
1563.820000,7.5570E-009
1563.880000,7.8200E-009
1563.940000,9.3870E-009
1564.000000,8.6130E-009
1564.060000,7.7690E-009
1564.120000,9.4380E-009
1564.180000,8.3650E-009
1564.240000,9.7980E-009
1564.300000,8.1830E-009
1564.360000,9.9450E-009
1564.420000,8.8950E-009
1564.480000,9.0250E-009
1564.540000,9.0880E-009
1564.600000,9.7250E-009
1564.660000,8.7270E-009
1564.720000,1.0170E-008
1564.780000,9.9400E-009
1564.840000,9.9210E-009
1564.900000,8.0240E-009
1564.960000,1.0400E-008
1565.020000,8.8520E-009
1565.080000,9.9510E-009
1565.140000,9.6450E-009
1565.200000,1.0010E-008
1565.260000,9.9400E-009
1565.320000,9.0480E-009
1565.380000,7.7420E-009
1565.440000,8.7660E-009
1565.500000,8.7200E-009
1565.560000,8.6370E-009
1565.620000,9.3730E-009
1565.680000,8.3380E-009
1565.740000,8.3240E-009
1565.800000,8.0360E-009
1565.860000,9.5510E-009
1565.920000,8.9330E-009
1565.980000,9.7260E-009
1566.040000,9.5610E-009
1566.100000,8.9660E-009
1566.160000,1.0940E-008
1566.220000,1.0030E-008
1566.280000,9.4670E-009
1566.340000,9.3400E-009
1566.400000,9.2440E-009
1566.460000,1.0230E-008
1566.520000,1.0990E-008
1566.580000,1.1920E-008
1566.640000,1.0960E-008
1566.700000,1.0390E-008
1566.760000,1.0740E-008
1566.820000,1.1250E-008
1566.880000,1.1270E-008
1566.940000,1.1340E-008
1567.000000,1.1530E-008
1567.060000,1.1990E-008
1567.120000,1.1040E-008
1567.180000,1.0840E-008
1567.240000,1.0830E-008
1567.300000,1.2260E-008
1567.360000,1.2070E-008
1567.420000,1.0990E-008
1567.480000,1.1630E-008
1567.540000,1.0130E-008
1567.600000,1.1840E-008
1567.660000,1.1090E-008
1567.720000,1.1070E-008
1567.780000,1.1050E-008
1567.840000,1.0620E-008
1567.900000,1.3160E-008
1567.960000,1.1540E-008
1568.020000,1.3840E-008
1568.080000,1.1670E-008
1568.140000,1.2050E-008
1568.200000,1.2760E-008
1568.260000,1.2260E-008
1568.320000,1.2210E-008
1568.380000,1.1120E-008
1568.440000,1.1560E-008
1568.500000,1.1060E-008
1568.560000,1.0970E-008
1568.620000,1.1290E-008
1568.680000,9.9960E-009
1568.740000,1.1810E-008
1568.800000,1.0990E-008
1568.860000,1.2050E-008
1568.920000,1.1960E-008
1568.980000,1.1200E-008
1569.040000,1.2120E-008
1569.100000,1.0650E-008
1569.160000,1.0920E-008
1569.220000,1.0450E-008
1569.280000,1.1470E-008
1569.340000,1.1290E-008
1569.400000,1.0630E-008
1569.460000,1.0600E-008
1569.520000,1.1320E-008
1569.580000,1.2680E-008
1569.640000,1.2680E-008
1569.700000,9.8400E-009
1569.760000,1.0850E-008
1569.820000,1.2450E-008
1569.880000,1.1960E-008
1569.940000,1.0650E-008
1570.000000,1.3470E-008
